WorkerId|WorkTimeInSeconds|Query|URL|Relevance
70967907|83|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|1
42495638|23|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|2
10707960|332|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|0
59022588|27|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|3
58521720|17|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|0
46413109|9|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|3
70967907|44|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|3
77670590|14|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|1
15936088|45|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|3
34272679|33|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|0
90323410|47|french lick resort and casino|http://www.frenchlick.com/site_map/site_map.asp|2
46413109|8|french lick resort and casino|http://www.frenchlick.com/site_map/site_map.asp|3
34272679|62|french lick resort and casino|http://www.frenchlick.com/site_map/site_map.asp|3
58521720|12|french lick resort and casino|http://www.frenchlick.com/site_map/site_map.asp|1
70967907|21|french lick resort and casino|http://www.frenchlick.com/site_map/site_map.asp|0
58521720|47|french lick resort and casino|http://en.wikipedia.org/wiki/French_Lick|3
70967907|116|french lick resort and casino|http://en.wikipedia.org/wiki/French_Lick|0
20102457|29|french lick resort and casino|http://en.wikipedia.org/wiki/French_Lick|3
34272679|59|french lick resort and casino|http://en.wikipedia.org/wiki/French_Lick|1
89410112|27|french lick resort and casino|http://en.wikipedia.org/wiki/French_Lick|0
20102457|41|french lick resort and casino|http://www.frenchlick.com/golf/golf.asp|3
70967907|36|french lick resort and casino|http://www.frenchlick.com/golf/golf.asp|1
34272679|32|french lick resort and casino|http://www.frenchlick.com/golf/golf.asp|2
46413109|5|french lick resort and casino|http://www.frenchlick.com/golf/golf.asp|1
46404189|34|french lick resort and casino|http://www.frenchlick.com/golf/golf.asp|2
34272679|35|french lick resort and casino|http://www.hotel-online.com/News/PressReleases/FrancineSilvermanEleganceReturning_Oct1997.html|0
70967907|59|french lick resort and casino|http://www.hotel-online.com/News/PressReleases/FrancineSilvermanEleganceReturning_Oct1997.html|1
18985136|216|french lick resort and casino|http://www.hotel-online.com/News/PressReleases/FrancineSilvermanEleganceReturning_Oct1997.html|1
96055123|48|french lick resort and casino|http://www.hotel-online.com/News/PressReleases/FrancineSilvermanEleganceReturning_Oct1997.html|0
58521720|43|french lick resort and casino|http://www.hotel-online.com/News/PressReleases/FrancineSilvermanEleganceReturning_Oct1997.html|3
20102457|42|french lick resort and casino|http://www.frenchlick.com/contact_us/contact_us.asp|2
90276315|17|french lick resort and casino|http://www.frenchlick.com/contact_us/contact_us.asp|1
70967907|40|french lick resort and casino|http://www.frenchlick.com/contact_us/contact_us.asp|1
58521720|64|french lick resort and casino|http://www.frenchlick.com/contact_us/contact_us.asp|2
15936088|29|french lick resort and casino|http://www.frenchlick.com/contact_us/contact_us.asp|1
34272679|68|french lick resort and casino|http://www.frenchlick.com/restoration/press_release.asp|1
58521720|24|french lick resort and casino|http://www.frenchlick.com/restoration/press_release.asp|3
20102457|167|french lick resort and casino|http://www.frenchlick.com/restoration/press_release.asp|3
70967907|35|french lick resort and casino|http://www.frenchlick.com/restoration/press_release.asp|1
15936088|22|french lick resort and casino|http://www.frenchlick.com/restoration/press_release.asp|1
70967907|84|french lick resort and casino|http://www.frenchlick.com/accommodations/west_baden.asp|3
49362642|171|french lick resort and casino|http://www.frenchlick.com/accommodations/west_baden.asp|1
89410112|44|french lick resort and casino|http://www.frenchlick.com/accommodations/west_baden.asp|0
34272679|111|french lick resort and casino|http://www.frenchlick.com/accommodations/west_baden.asp|3
90276315|8|french lick resort and casino|http://www.frenchlick.com/accommodations/west_baden.asp|1
89410112|31|french lick resort and casino|http://www.frenchlick.com/virtual_tour/virtual_tours.asp|2
34272679|34|french lick resort and casino|http://www.frenchlick.com/virtual_tour/virtual_tours.asp|3
90276315|22|french lick resort and casino|http://www.frenchlick.com/virtual_tour/virtual_tours.asp|1
58521720|13|french lick resort and casino|http://www.frenchlick.com/virtual_tour/virtual_tours.asp|3
70967907|18|french lick resort and casino|http://www.frenchlick.com/virtual_tour/virtual_tours.asp|0
46413109|6|appraisals|http://en.wikipedia.org/wiki/Property_appraisal|3
15936088|22|appraisals|http://en.wikipedia.org/wiki/Property_appraisal|3
58521720|11|appraisals|http://en.wikipedia.org/wiki/Property_appraisal|3
90323410|16|appraisals|http://en.wikipedia.org/wiki/Property_appraisal|3
20102457|12|appraisals|http://en.wikipedia.org/wiki/Property_appraisal|3
46413109|40|kcs|http://en.wikipedia.org/wiki/Kansas_City_Southern_De_Mexico|3
90323410|50|kcs|http://en.wikipedia.org/wiki/Kansas_City_Southern_De_Mexico|0
58521720|9|kcs|http://en.wikipedia.org/wiki/Kansas_City_Southern_De_Mexico|3
15936088|30|kcs|http://en.wikipedia.org/wiki/Kansas_City_Southern_De_Mexico|2
59022588|13|kcs|http://en.wikipedia.org/wiki/Kansas_City_Southern_De_Mexico|3
46645469|27|kcs|http://en.wikipedia.org/wiki/The_Kansas_City_Southern_Railroad|3
15936088|21|kcs|http://en.wikipedia.org/wiki/The_Kansas_City_Southern_Railroad|3
89410112|19|kcs|http://en.wikipedia.org/wiki/The_Kansas_City_Southern_Railroad|3
92269849|86|kcs|http://en.wikipedia.org/wiki/The_Kansas_City_Southern_Railroad|3
58521720|12|kcs|http://en.wikipedia.org/wiki/The_Kansas_City_Southern_Railroad|3
46413109|7|kcs|http://en.wikipedia.org/wiki/Texas-Mexican_Railway|3
15936088|16|kcs|http://en.wikipedia.org/wiki/Texas-Mexican_Railway|2
89410112|30|kcs|http://en.wikipedia.org/wiki/Texas-Mexican_Railway|1
90276315|30|kcs|http://en.wikipedia.org/wiki/Texas-Mexican_Railway|1
58521720|14|kcs|http://en.wikipedia.org/wiki/Texas-Mexican_Railway|3
90276315|20|appraisals|http://narblog1.realtors.org/mvtype/appraisalinsight/2008/08/|1
41391716|228|appraisals|http://narblog1.realtors.org/mvtype/appraisalinsight/2008/08/|2
20102457|20|appraisals|http://narblog1.realtors.org/mvtype/appraisalinsight/2008/08/|2
58521720|24|appraisals|http://narblog1.realtors.org/mvtype/appraisalinsight/2008/08/|2
72465272|84|appraisals|http://narblog1.realtors.org/mvtype/appraisalinsight/2008/08/|2
18985136|202|toilet|http://www.theplumber.com/fhb.html|0
89410112|17|toilet|http://www.theplumber.com/fhb.html|3
20102457|22|toilet|http://www.theplumber.com/fhb.html|3
92269849|38|toilet|http://www.theplumber.com/fhb.html|3
58521720|15|toilet|http://www.theplumber.com/fhb.html|3
58521720|23|cheap internet|http://www.dailyedeals.com/free_internet/discount_isp.htm|3
77670590|14|cheap internet|http://www.dailyedeals.com/free_internet/discount_isp.htm|2
15936088|67|cheap internet|http://www.dailyedeals.com/free_internet/discount_isp.htm|2
46413109|12|cheap internet|http://www.dailyedeals.com/free_internet/discount_isp.htm|3
90276315|20|cheap internet|http://www.dailyedeals.com/free_internet/discount_isp.htm|3
20102457|30|toilet|http://www.allproducts.com.tw/handtools/maghin/19-door_knob.html|-1
90323410|29|toilet|http://www.allproducts.com.tw/handtools/maghin/19-door_knob.html|-1
58521720|39|toilet|http://www.allproducts.com.tw/handtools/maghin/19-door_knob.html|-1
46413109|123|toilet|http://www.allproducts.com.tw/handtools/maghin/19-door_knob.html|-1
15936088|36|toilet|http://www.allproducts.com.tw/handtools/maghin/19-door_knob.html|-1
58521720|15|cheap internet|http://www.cheap-56k.com/|0
77670590|33|cheap internet|http://www.cheap-56k.com/|-1
55983228|63|cheap internet|http://www.cheap-56k.com/|-1
15936088|20|cheap internet|http://www.cheap-56k.com/|0
46413109|47|cheap internet|http://www.cheap-56k.com/|-1
46413109|11|appraisals|http://narblog1.realtors.org/mvtype/appraisalinsight/2009/01/questions_about_the_home_valua_1.html|1
