WorkerId|WorkTimeInSeconds|Query|URL|InputRelevance|InputRationale|Reasoning|Relevance
19514869|94|gps|http://en.wikipedia.org/wiki/NAVSTAR|1|The Global Positioning System (GPS) is a space-based navigation system that provides location and time information in all weather conditions, anywhere on or near the Earth where there is an unobstructed line of sight to four or more GPS satellites.[1] The system provides critical capabilities to military, civil, and commercial users around the world. The United States government created the system, maintains it, and makes it freely accessible to anyone with a GPS receiver.|The Web page and Quote Tom suggested are providing the required information|3
31659778|134|gps|http://en.wikipedia.org/wiki/NAVSTAR|1|The Global Positioning System (GPS) is a space-based navigation system that provides location and time information in all weather conditions, anywhere on or near the Earth where there is an unobstructed line of sight to four or more GPS satellites.[1] The system provides critical capabilities to military, civil, and commercial users around the world. The United States government created the system, maintains it, and makes it freely accessible to anyone with a GPS receiver.|The webpage doesn't have information on the search query but is related.|1
94611377|1374|gps|http://en.wikipedia.org/wiki/NAVSTAR|1|The Global Positioning System (GPS) is a space-based navigation system that provides location and time information in all weather conditions, anywhere on or near the Earth where there is an unobstructed line of sight to four or more GPS satellites.[1] The system provides critical capabilities to military, civil, and commercial users around the world. The United States government created the system, maintains it, and makes it freely accessible to anyone with a GPS receiver.|Tom is right: the page is about the GPS technology in general, not about the GPS receivers. But Alice may find some piece of information by reading the article, though|1
25475121|43|gps|http://en.wikipedia.org/wiki/NAVSTAR|1|The Global Positioning System (GPS) is a space-based navigation system that provides location and time information in all weather conditions, anywhere on or near the Earth where there is an unobstructed line of sight to four or more GPS satellites.[1] The system provides critical capabilities to military, civil, and commercial users around the world. The United States government created the system, maintains it, and makes it freely accessible to anyone with a GPS receiver.|i also checked the info|1
31659778|90|kcs|http://en.wikipedia.org/wiki/Louisiana_&_Arkansas|2|"The Harvey Couch interests began purchasing stock of the Kansas City Southern Railway (KCS) in 1937. After gaining control of the KCS in 1939, a decision was made to merge the two properties. Kansas City Southern was the surviving corporation, with the Louisiana & Arkansas as a KCS subsidiary, but the KCS president and the controlling stockholders were all from the L&A. This merger created ""single line"" railroad freight service between Kansas City and New Orleans, and on September 2, 1940, a new KCS-L&A diesel powered streamliner, the Southern Belle, was inaugurated to connect the two cities."|Agree because the webpage has details about the search query.|2
93122106|44|kcs|http://en.wikipedia.org/wiki/Louisiana_&_Arkansas|2|"The Harvey Couch interests began purchasing stock of the Kansas City Southern Railway (KCS) in 1937. After gaining control of the KCS in 1939, a decision was made to merge the two properties. Kansas City Southern was the surviving corporation, with the Louisiana & Arkansas as a KCS subsidiary, but the KCS president and the controlling stockholders were all from the L&A. This merger created ""single line"" railroad freight service between Kansas City and New Orleans, and on September 2, 1940, a new KCS-L&A diesel powered streamliner, the Southern Belle, was inaugurated to connect the two cities."|has some info about the railroad in Kansas.|2
25475121|26|kcs|http://en.wikipedia.org/wiki/Louisiana_&_Arkansas|2|"The Harvey Couch interests began purchasing stock of the Kansas City Southern Railway (KCS) in 1937. After gaining control of the KCS in 1939, a decision was made to merge the two properties. Kansas City Southern was the surviving corporation, with the Louisiana & Arkansas as a KCS subsidiary, but the KCS president and the controlling stockholders were all from the L&A. This merger created ""single line"" railroad freight service between Kansas City and New Orleans, and on September 2, 1940, a new KCS-L&A diesel powered streamliner, the Southern Belle, was inaugurated to connect the two cities."|i checked the info|2
19937580|165|kcs|http://en.wikipedia.org/wiki/Louisiana_&_Arkansas|2|"The Harvey Couch interests began purchasing stock of the Kansas City Southern Railway (KCS) in 1937. After gaining control of the KCS in 1939, a decision was made to merge the two properties. Kansas City Southern was the surviving corporation, with the Louisiana & Arkansas as a KCS subsidiary, but the KCS president and the controlling stockholders were all from the L&A. This merger created ""single line"" railroad freight service between Kansas City and New Orleans, and on September 2, 1940, a new KCS-L&A diesel powered streamliner, the Southern Belle, was inaugurated to connect the two cities."|I agree.  This website is probably relevant because it discusses subsidiaries of KCS.|2
94826772|93|djs|http://www.gatheringguide.com/event_categories/bands_djs_entertainment.html|0|After over 10 years of helping people plan their events, we must regretfully close our virtual doors. We'd like to thank all the customers and vendors that used and contributed to our site over the years. All the best.|Its not relevant to djs.|0
38265360|29|djs|http://www.gatheringguide.com/event_categories/bands_djs_entertainment.html|0|After over 10 years of helping people plan their events, we must regretfully close our virtual doors. We'd like to thank all the customers and vendors that used and contributed to our site over the years. All the best.|The quote is for a page load error, so this is what I have selected.|0
